Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,684.53100E-006,65.82300E-003,-300.00000E-003,-335.45200E-009,65.82300E-003
1,1,2,99.99990E-003,683.34300E-006,175.61400E-003,-292.99000E-003,501.52500E-009,175.61400E-003
1,1,3,100.00000E-003,681.94000E-006,284.22800E-003,-285.99900E-003,878.37000E-009,284.22800E-003
1,1,4,100.00000E-003,680.56700E-006,387.77600E-003,-278.99900E-003,1.15132E-006,387.77600E-003
1,1,5,100.00000E-003,678.92200E-006,491.31600E-003,-271.99900E-003,1.32373E-006,491.31600E-003
1,1,6,100.00000E-003,677.32600E-006,594.88000E-003,-264.99900E-003,1.45143E-006,594.88000E-003
1,1,7,100.00000E-003,675.57800E-006,722.45300E-003,-257.99900E-003,1.46576E-006,722.45300E-003
1,1,8,100.00000E-003,673.95800E-006,825.99900E-003,-250.99900E-003,1.59623E-006,825.99900E-003
1,1,9,100.00000E-003,672.15200E-006,929.61800E-003,-243.99900E-003,1.68997E-006,929.61800E-003
1,1,10,100.00010E-003,670.32200E-006,1.03318E+000,-236.99900E-003,1.76788E-006,1.03318E+000
1,1,11,100.00000E-003,668.35000E-006,1.16094E+000,-229.99900E-003,1.57535E-006,1.16094E+000
1,1,12,100.00000E-003,666.52400E-006,1.26494E+000,-222.99900E-003,1.80487E-006,1.26494E+000
1,1,13,99.99990E-003,664.55700E-006,1.36854E+000,-215.99900E-003,1.90797E-006,1.36854E+000
1,1,14,100.00000E-003,662.56300E-006,1.47207E+000,-208.99840E-003,1.97176E-006,1.47207E+000
1,1,15,100.00000E-003,660.44200E-006,1.57566E+000,-201.99830E-003,2.04217E-006,1.57566E+000
1,1,16,100.00000E-003,658.21700E-006,1.70188E+000,-194.99830E-003,2.01154E-006,1.70188E+000
1,1,17,100.00000E-003,656.09700E-006,1.80546E+000,-187.99830E-003,2.10832E-006,1.80546E+000
1,1,18,100.00000E-003,653.81700E-006,1.90904E+000,-180.99830E-003,2.17855E-006,1.90904E+000
1,1,19,100.00000E-003,651.45000E-006,2.01261E+000,-173.99820E-003,2.23973E-006,2.01261E+000
1,1,20,100.00000E-003,649.12700E-006,2.11682E+000,-166.99820E-003,2.29278E-006,2.11682E+000
1,1,21,100.00000E-003,646.72000E-006,2.22040E+000,-159.99820E-003,2.34723E-006,2.22040E+000
1,1,22,100.00000E-003,644.17300E-006,2.32513E+000,-152.99820E-003,2.39284E-006,2.32513E+000
1,1,23,100.00000E-003,641.53000E-006,2.43192E+000,-145.99830E-003,2.40436E-006,2.43192E+000
1,1,24,100.00000E-003,638.86900E-006,2.53544E+000,-138.99830E-003,2.47949E-006,2.53544E+000
1,1,25,100.00000E-003,635.99100E-006,2.66170E+000,-131.99870E-003,2.28351E-006,2.66170E+000
1,1,26,100.00000E-003,633.32500E-006,2.76531E+000,-124.99850E-003,2.48194E-006,2.76531E+000
1,1,27,100.00000E-003,630.49100E-006,2.86885E+000,-117.99830E-003,2.56270E-006,2.86885E+000
1,1,28,100.00000E-003,627.51100E-006,2.97246E+000,-110.99830E-003,2.61956E-006,2.97246E+000
1,1,29,100.00000E-003,624.43700E-006,3.07688E+000,-103.99840E-003,2.65651E-006,3.07688E+000
1,1,30,100.00000E-003,621.33100E-006,3.20399E+000,-96.99840E-003,2.60333E-006,3.20399E+000
1,1,31,100.00000E-003,618.12600E-006,3.30762E+000,-89.99830E-003,2.68160E-006,3.30762E+000
1,1,32,100.00000E-003,614.78900E-006,3.41205E+000,-82.99830E-003,2.73125E-006,3.41205E+000
1,1,33,100.00000E-003,611.41100E-006,3.51590E+000,-75.99830E-003,2.77210E-006,3.51590E+000
1,1,34,100.00000E-003,607.86000E-006,3.61947E+000,-68.99830E-003,2.81205E-006,3.61947E+000
1,1,35,100.00000E-003,604.27900E-006,3.72305E+000,-61.99830E-003,2.84608E-006,3.72305E+000
1,1,36,100.00000E-003,600.50400E-006,3.82879E+000,-54.99830E-003,2.85061E-006,3.82879E+000
1,1,37,100.00000E-003,596.60700E-006,3.93231E+000,-47.99820E-003,2.89737E-006,3.93231E+000
1,1,38,100.00000E-003,592.63000E-006,4.03588E+000,-40.99830E-003,2.92852E-006,4.03588E+000
1,1,39,100.00000E-003,588.18800E-006,4.16843E+000,-33.99880E-003,2.66387E-006,4.16843E+000
1,1,40,100.00000E-003,583.90100E-006,4.27537E+000,-26.99840E-003,2.82417E-006,4.27537E+000
1,1,41,100.00000E-003,579.58500E-006,4.37935E+000,-19.99840E-003,2.91073E-006,4.37935E+000
1,1,42,100.00000E-003,575.10500E-006,4.48292E+000,-12.99840E-003,2.96304E-006,4.48292E+000
1,1,43,100.00000E-003,570.48100E-006,4.58646E+000,-5.99840E-003,3.00344E-006,4.58646E+000
1,1,44,100.00000E-003,565.60800E-006,4.70759E+000,1.00150E-003,2.96394E-006,4.70759E+000
1,1,45,100.00000E-003,560.73800E-006,4.81118E+000,8.00160E-003,3.02580E-006,4.81118E+000
1,1,46,100.00000E-003,555.69700E-006,4.91470E+000,15.00160E-003,3.07341E-006,4.91470E+000
1,1,47,100.00000E-003,550.49800E-006,5.01832E+000,22.00160E-003,3.11524E-006,5.01832E+000
1,1,48,100.00000E-003,545.16000E-006,5.12187E+000,29.00160E-003,3.15911E-006,5.12187E+000
1,1,49,100.00000E-003,539.66300E-006,5.22553E+000,36.00160E-003,3.20177E-006,5.22553E+000
1,1,50,100.00000E-003,534.00400E-006,5.32909E+000,43.00150E-003,3.24712E-006,5.32909E+000
1,1,51,100.00000E-003,528.16300E-006,5.43263E+000,50.00160E-003,3.29384E-006,5.43263E+000
1,1,52,100.00000E-003,522.16400E-006,5.53617E+000,57.00160E-003,3.34248E-006,5.53617E+000
1,1,53,100.00000E-003,515.51300E-006,5.66918E+000,64.00110E-003,3.11233E-006,5.66918E+000
1,1,54,100.00000E-003,509.41000E-006,5.77277E+000,71.00160E-003,3.31204E-006,5.77277E+000
1,1,55,100.00000E-003,502.95700E-006,5.87631E+000,78.00150E-003,3.40095E-006,5.87631E+000
1,1,56,100.00000E-003,496.31700E-006,5.97985E+000,85.00150E-003,3.47140E-006,5.97985E+000
1,1,57,100.00000E-003,489.44300E-006,6.08339E+000,92.00160E-003,3.51487E-006,6.08339E+000
1,1,58,100.00000E-003,482.11900E-006,6.21215E+000,99.00150E-003,3.42941E-006,6.21215E+000
1,1,59,100.00000E-003,474.91100E-006,6.31583E+000,106.00150E-003,3.49174E-006,6.31583E+000
1,1,60,100.00000E-003,467.46300E-006,6.41941E+000,113.00150E-003,3.53506E-006,6.41941E+000
1,1,61,100.00000E-003,459.83600E-006,6.52298E+000,120.00150E-003,3.56930E-006,6.52298E+000
1,1,62,100.00010E-003,452.01100E-006,6.62653E+000,127.00150E-003,3.60033E-006,6.62653E+000
1,1,63,100.00000E-003,443.98800E-006,6.73039E+000,134.00150E-003,3.62851E-006,6.73039E+000
1,1,64,100.00000E-003,435.77300E-006,6.83393E+000,141.00150E-003,3.65849E-006,6.83393E+000
1,1,65,100.00000E-003,427.36900E-006,6.93747E+000,148.00150E-003,3.69103E-006,6.93747E+000
1,1,66,100.00000E-003,418.80400E-006,7.04103E+000,155.00150E-003,3.72527E-006,7.04103E+000
1,1,67,100.00000E-003,409.43000E-006,7.17162E+000,162.00100E-003,3.51476E-006,7.17162E+000
1,1,68,100.00000E-003,400.81100E-006,7.27520E+000,169.00140E-003,3.68895E-006,7.27520E+000
1,1,69,100.00000E-003,391.82200E-006,7.37878E+000,176.00150E-003,3.77175E-006,7.37878E+000
1,1,70,100.00000E-003,382.56200E-006,7.48530E+000,183.00150E-003,3.81357E-006,7.48530E+000
1,1,71,100.00000E-003,373.26700E-006,7.58884E+000,190.00150E-003,3.90453E-006,7.58884E+000
1,1,72,100.00000E-003,363.51400E-006,7.71584E+000,197.00140E-003,3.88478E-006,7.71584E+000
1,1,73,100.00000E-003,353.96200E-006,7.81944E+000,204.00140E-003,3.99252E-006,7.81944E+000
1,1,74,100.00010E-003,344.20100E-006,7.92297E+000,211.00100E-003,4.10629E-006,7.92297E+000
1,1,75,100.00010E-003,334.46300E-006,8.02653E+000,218.00100E-003,4.19727E-006,8.02653E+000
1,1,76,100.00000E-003,324.68300E-006,8.13006E+000,225.00100E-003,4.29466E-006,8.13006E+000
1,1,77,100.00000E-003,314.85700E-006,8.23370E+000,232.00100E-003,4.39326E-006,8.23370E+000
1,1,78,100.00010E-003,305.04000E-006,8.33736E+000,239.00100E-003,4.49457E-006,8.33736E+000
1,1,79,100.00000E-003,295.24900E-006,8.44111E+000,246.00100E-003,4.59570E-006,8.44111E+000
1,1,80,100.00000E-003,285.54100E-006,8.54464E+000,253.00100E-003,4.71001E-006,8.54464E+000
1,1,81,100.00010E-003,275.19000E-006,8.68010E+000,260.00100E-003,4.54558E-006,8.68010E+000
1,1,82,100.00000E-003,266.09300E-006,8.78368E+000,267.00100E-003,4.79653E-006,8.78368E+000
1,1,83,100.00000E-003,256.94900E-006,8.88762E+000,274.00100E-003,4.94268E-006,8.88762E+000
1,1,84,100.00000E-003,248.04300E-006,8.99127E+000,281.00100E-003,5.08078E-006,8.99127E+000
1,1,85,100.00000E-003,239.44200E-006,9.09482E+000,288.00100E-003,5.21584E-006,9.09482E+000
1,1,86,100.00000E-003,230.97500E-006,9.22114E+000,295.00100E-003,5.25449E-006,9.22114E+000
1,1,87,100.00000E-003,223.27100E-006,9.32476E+000,302.00100E-003,5.42881E-006,9.32476E+000
1,1,88,100.00010E-003,216.01900E-006,9.42831E+000,309.00100E-003,5.59200E-006,9.42831E+000
1,1,89,100.00000E-003,209.30300E-006,9.53182E+000,316.00100E-003,5.76013E-006,9.53182E+000
1,1,90,100.00000E-003,203.16400E-006,9.63685E+000,323.00100E-003,5.91999E-006,9.63685E+000
1,1,91,100.00010E-003,197.68500E-006,9.74266E+000,330.00100E-003,6.09312E-006,9.74266E+000
1,1,92,100.00000E-003,192.92800E-006,9.84621E+000,337.00100E-003,6.30231E-006,9.84621E+000
1,1,93,100.00000E-003,188.84300E-006,9.95308E+000,344.00100E-003,6.49266E-006,9.95308E+000
1,1,94,100.00000E-003,185.52600E-006,10.06008E+000,351.00100E-003,6.69698E-006,10.06008E+000
1,1,95,100.00000E-003,182.89500E-006,10.18315E+000,358.00100E-003,6.80105E-006,10.18315E+000
1,1,96,100.00000E-003,181.16100E-006,10.29004E+000,365.00100E-003,7.10477E-006,10.29004E+000
1,1,97,100.00000E-003,180.15100E-006,10.39690E+000,372.00100E-003,7.36202E-006,10.39690E+000
1,1,98,100.00000E-003,179.86900E-006,10.50375E+000,379.00100E-003,7.62302E-006,10.50375E+000
1,1,99,100.00000E-003,180.28700E-006,10.61222E+000,386.00100E-003,7.88596E-006,10.61222E+000
1,1,100,100.00010E-003,181.36000E-006,10.72845E+000,393.00100E-003,8.14183E-006,10.72845E+000
1,1,101,99.99990E-003,183.03700E-006,10.83798E+000,400.00100E-003,8.40947E-006,10.83798E+000
1,1,102,100.00000E-003,185.23300E-006,10.94486E+000,407.00100E-003,8.72430E-006,10.94486E+000
1,1,103,100.00000E-003,187.87600E-006,11.04843E+000,414.00100E-003,9.03980E-006,11.04843E+000
1,1,104,100.00000E-003,191.10600E-006,11.18212E+000,421.00000E-003,9.16810E-006,11.18212E+000
1,1,105,100.00000E-003,194.38400E-006,11.28571E+000,428.00100E-003,9.60350E-006,11.28571E+000
1,1,106,100.00000E-003,198.00900E-006,11.38931E+000,435.00100E-003,9.95310E-006,11.38931E+000
1,1,107,99.99990E-003,201.85400E-006,11.49290E+000,442.00100E-003,10.29750E-006,11.49290E+000
1,1,108,100.00000E-003,205.87400E-006,11.59643E+000,449.00100E-003,10.64420E-006,11.59643E+000
