Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,64.35310E-003,1.00000E-003,63.60100E-003,-300.00100E-003,-1.25517E-006,63.60100E-003
1,1,2,64.55990E-003,1.00000E-003,292.81600E-003,-292.99800E-003,-794.56000E-009,292.81600E-003
1,1,3,64.78640E-003,1.00000E-003,416.65000E-003,-285.82100E-003,9.37040E-009,416.65000E-003
1,1,4,64.99360E-003,1.00000E-003,526.00300E-003,-278.99100E-003,368.50600E-009,526.00300E-003
1,1,5,65.23780E-003,1.00000E-003,665.05900E-003,-271.99500E-003,391.83900E-009,665.05900E-003
1,1,6,65.48250E-003,1.00000E-003,773.63100E-003,-264.99900E-003,760.62000E-009,773.63100E-003
1,1,7,65.73740E-003,1.00000E-003,882.30800E-003,-257.99900E-003,957.43000E-009,882.30800E-003
1,1,8,66.00230E-003,1.00000E-003,989.34500E-003,-250.99900E-003,1.13202E-006,989.34500E-003
1,1,9,66.28120E-003,1.00000E-003,1.09622E+000,-243.99800E-003,1.26938E-006,1.09622E+000
1,1,10,66.56750E-003,1.00000E-003,1.20883E+000,-236.99900E-003,1.36445E-006,1.20883E+000
1,1,11,66.85750E-003,1.00000E-003,1.31578E+000,-229.99900E-003,1.47220E-006,1.31578E+000
1,1,12,67.15340E-003,1.00000E-003,1.42283E+000,-222.99900E-003,1.56105E-006,1.42283E+000
1,1,13,67.46030E-003,1.00000E-003,1.53038E+000,-215.99900E-003,1.64009E-006,1.53038E+000
1,1,14,67.78200E-003,1.00000E-003,1.66516E+000,-208.99890E-003,1.43975E-006,1.66516E+000
1,1,15,68.10170E-003,1.00000E-003,1.77209E+000,-201.99840E-003,1.67296E-006,1.77209E+000
1,1,16,68.43590E-003,1.00000E-003,1.87935E+000,-194.99830E-003,1.77617E-006,1.87935E+000
1,1,17,68.78150E-003,1.00000E-003,1.98621E+000,-187.99820E-003,1.85218E-006,1.98621E+000
1,1,18,69.13540E-003,1.00000E-003,2.09353E+000,-180.99830E-003,1.91656E-006,2.09353E+000
1,1,19,69.50100E-003,1.00000E-003,2.20446E+000,-173.99830E-003,1.94405E-006,2.20446E+000
1,1,20,69.87890E-003,1.00000E-003,2.31302E+000,-166.99850E-003,1.99283E-006,2.31302E+000
1,1,21,70.26560E-003,1.00000E-003,2.41987E+000,-159.99830E-003,2.05836E-006,2.41987E+000
