Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,68.65670E-003,1.00000E-003,64.12200E-003,-300.00100E-003,-5.53434E-006,64.12200E-003
1,1,2,68.85250E-003,1.00000E-003,168.06400E-003,-292.99900E-003,-4.42365E-006,168.06400E-003
1,1,3,69.05210E-003,1.00000E-003,271.63000E-003,-285.99900E-003,-3.81801E-006,271.63000E-003
1,1,4,69.29310E-003,1.00000E-003,375.16400E-003,-278.99900E-003,-3.37955E-006,375.16400E-003
1,1,5,69.54720E-003,1.00000E-003,478.81700E-003,-271.99900E-003,-3.03142E-006,478.81700E-003
1,1,6,69.79690E-003,1.00000E-003,582.35300E-003,-264.99800E-003,-2.73185E-006,582.35300E-003
1,1,7,70.05060E-003,1.00000E-003,695.07400E-003,-257.99900E-003,-2.50278E-006,695.07400E-003
1,1,8,70.31460E-003,1.00000E-003,798.60400E-003,-250.99900E-003,-2.24389E-006,798.60400E-003
1,1,9,70.57690E-003,1.00000E-003,902.17100E-003,-243.99900E-003,-2.01099E-006,902.17100E-003
1,1,10,70.86890E-003,1.00000E-003,1.00573E+000,-236.99900E-003,-1.79470E-006,1.00573E+000
1,1,11,71.15830E-003,1.00000E-003,1.10928E+000,-229.99900E-003,-1.58890E-006,1.10928E+000
1,1,12,71.46680E-003,1.00000E-003,1.21286E+000,-222.99900E-003,-1.39338E-006,1.21286E+000
1,1,13,71.80360E-003,1.00000E-003,1.37127E+000,-216.00100E-003,-1.79278E-006,1.37127E+000
1,1,14,72.10350E-003,1.00000E-003,1.47648E+000,-208.99840E-003,-1.28193E-006,1.47648E+000
1,1,15,72.42900E-003,1.00000E-003,1.65809E+000,-201.99940E-003,-1.62719E-006,1.65809E+000
1,1,16,72.74430E-003,1.00000E-003,1.81662E+000,-194.99950E-003,-1.51735E-006,1.81662E+000
1,1,17,73.09650E-003,1.00000E-003,1.97496E+000,-187.99820E-003,-1.37305E-006,1.97496E+000
1,1,18,73.48040E-003,1.00000E-003,2.15719E+000,-180.99940E-003,-1.37167E-006,2.15719E+000
1,1,19,73.83640E-003,1.00000E-003,2.31542E+000,-173.99840E-003,-1.17528E-006,2.31542E+000
1,1,20,74.20400E-003,1.00000E-003,2.42359E+000,-166.98480E-003,-685.65000E-009,2.42359E+000
1,1,21,74.61980E-003,1.00000E-003,2.65820E+000,-159.99870E-003,-1.13252E-006,2.65820E+000
1,1,22,75.02050E-003,1.00000E-003,2.88405E+000,-152.99920E-003,-1.18288E-006,2.88405E+000
1,1,23,75.46220E-003,1.00000E-003,3.10992E+000,-145.99880E-003,-1.10557E-006,3.10992E+000
1,1,24,75.91670E-003,1.00000E-003,3.33810E+000,-138.99880E-003,-1.01331E-006,3.33810E+000
1,1,25,76.35490E-003,1.00000E-003,3.56288E+000,-131.99890E-003,-898.73000E-009,3.56288E+000
1,1,26,76.82570E-003,1.00000E-003,3.73491E+000,-124.98370E-003,-724.69800E-009,3.73491E+000
1,1,27,77.27400E-003,1.00000E-003,3.91274E+000,-117.98350E-003,-488.50000E-009,3.91274E+000
1,1,28,77.74440E-003,1.00000E-003,4.02218E+000,-110.99000E-003,58.59300E-009,4.02218E+000
1,1,29,78.25070E-003,1.00000E-003,4.16485E+000,-103.99290E-003,126.81900E-009,4.16485E+000
1,1,30,78.74580E-003,1.00000E-003,4.27186E+000,-96.99880E-003,524.88000E-009,4.27186E+000
1,1,31,79.25250E-003,1.00000E-003,4.37660E+000,-89.99870E-003,793.07000E-009,4.37660E+000
1,1,32,79.79900E-003,1.00000E-003,4.48208E+000,-82.99870E-003,1.00809E-006,4.48208E+000
1,1,33,80.35190E-003,1.00000E-003,4.58562E+000,-75.99860E-003,1.22645E-006,4.58562E+000
1,1,34,80.93930E-003,1.00000E-003,4.70741E+000,-68.99860E-003,1.35089E-006,4.70741E+000
1,1,35,81.53430E-003,1.00000E-003,4.81171E+000,-61.99860E-003,1.54340E-006,4.81171E+000
1,1,36,82.15550E-003,1.00000E-003,4.91533E+000,-54.99860E-003,1.72505E-006,4.91533E+000
1,1,37,82.80750E-003,1.00000E-003,5.01888E+000,-47.99850E-003,1.89099E-006,5.01888E+000
1,1,38,83.48400E-003,1.00000E-003,5.12245E+000,-40.99850E-003,2.04692E-006,5.12245E+000
1,1,39,84.18610E-003,1.00000E-003,5.22602E+000,-33.99850E-003,2.19459E-006,5.22602E+000
1,1,40,84.91200E-003,1.00000E-003,5.32984E+000,-26.99850E-003,2.33330E-006,5.32984E+000
1,1,41,85.66290E-003,1.00000E-003,5.43670E+000,-19.99840E-003,2.43847E-006,5.43670E+000
1,1,42,86.44060E-003,1.00000E-003,5.54355E+000,-12.99850E-003,2.55098E-006,5.54355E+000
1,1,43,87.28910E-003,1.00000E-003,5.67424E+000,-5.99900E-003,2.46122E-006,5.67424E+000
1,1,44,88.11170E-003,1.00000E-003,5.78113E+000,1.00140E-003,2.67507E-006,5.78113E+000
1,1,45,88.96750E-003,1.00000E-003,5.88834E+000,8.00140E-003,2.80571E-006,5.88834E+000
1,1,46,89.86060E-003,1.00000E-003,5.99518E+000,15.00150E-003,2.92730E-006,5.99518E+000
1,1,47,90.78290E-003,1.00000E-003,6.10204E+000,22.00160E-003,3.03394E-006,6.10204E+000
1,1,48,91.76250E-003,1.00000E-003,6.21609E+000,29.00160E-003,3.10588E-006,6.21609E+000
1,1,49,92.77280E-003,1.00000E-003,6.32297E+000,36.00150E-003,3.21347E-006,6.32297E+000
1,1,50,93.82350E-003,1.00000E-003,6.43032E+000,43.00150E-003,3.30650E-006,6.43032E+000
1,1,51,94.92440E-003,1.00000E-003,6.53907E+000,50.00150E-003,3.38697E-006,6.53907E+000
1,1,52,96.09120E-003,1.00000E-003,6.67820E+000,57.00110E-003,3.22950E-006,6.67820E+000
1,1,53,97.22940E-003,1.00000E-003,6.78508E+000,64.00160E-003,3.44094E-006,6.78508E+000
1,1,54,98.44750E-003,999.99800E-006,6.89194E+000,71.00150E-003,3.56047E-006,6.89194E+000
1,1,55,99.68590E-003,999.56600E-006,7.00054E+000,78.00140E-003,3.65018E-006,7.00054E+000
1,1,56,100.00000E-003,988.65400E-006,7.10739E+000,85.00150E-003,3.78174E-006,7.10739E+000
1,1,57,100.00000E-003,974.15200E-006,7.21797E+000,92.00140E-003,3.87756E-006,7.21797E+000
1,1,58,100.00000E-003,959.35200E-006,7.32488E+000,99.00150E-003,3.99020E-006,7.32488E+000
1,1,59,100.00000E-003,944.24800E-006,7.43267E+000,106.00150E-003,4.09404E-006,7.43267E+000
1,1,60,100.00000E-003,928.89300E-006,7.53999E+000,113.00150E-003,4.19788E-006,7.53999E+000
1,1,61,100.00000E-003,912.11600E-006,7.69812E+000,120.00090E-003,3.91759E-006,7.69812E+000
1,1,62,100.00000E-003,896.54100E-006,7.80505E+000,127.00140E-003,4.17972E-006,7.80505E+000
1,1,63,100.00000E-003,880.41600E-006,7.91192E+000,134.00150E-003,4.33901E-006,7.91192E+000
1,1,64,100.00000E-003,863.92400E-006,8.01876E+000,141.00160E-003,4.48561E-006,8.01876E+000
1,1,65,100.00000E-003,847.15100E-006,8.12565E+000,148.00160E-003,4.62576E-006,8.12565E+000
1,1,66,100.00000E-003,830.08300E-006,8.23441E+000,155.00160E-003,4.75887E-006,8.23441E+000
1,1,67,100.00000E-003,812.76400E-006,8.34187E+000,162.00150E-003,4.89929E-006,8.34187E+000
1,1,68,100.00000E-003,795.35200E-006,8.44871E+000,169.00160E-003,5.05605E-006,8.44871E+000
1,1,69,100.00000E-003,777.61400E-006,8.55567E+000,176.00150E-003,5.21465E-006,8.55567E+000
1,1,70,100.00000E-003,759.05300E-006,8.68574E+000,183.00110E-003,5.17378E-006,8.68574E+000
1,1,71,100.00000E-003,741.15700E-006,8.79260E+000,190.00160E-003,5.43343E-006,8.79260E+000
1,1,72,100.00000E-003,722.90800E-006,8.89951E+000,197.00160E-003,5.64665E-006,8.89951E+000
1,1,73,100.00000E-003,704.52400E-006,9.00980E+000,204.00140E-003,5.82503E-006,9.00980E+000
1,1,74,100.00000E-003,685.76900E-006,9.11669E+000,211.00200E-003,6.08638E-006,9.11669E+000
1,1,75,100.00000E-003,667.15100E-006,9.22431E+000,218.00200E-003,6.30332E-006,9.22431E+000
1,1,76,100.00000E-003,648.48700E-006,9.33117E+000,225.00200E-003,6.53123E-006,9.33117E+000
1,1,77,100.00000E-003,629.67500E-006,9.43857E+000,232.00200E-003,6.74826E-006,9.43857E+000
1,1,78,100.00000E-003,610.75000E-006,9.54777E+000,239.00200E-003,6.93974E-006,9.54777E+000
1,1,79,100.00010E-003,590.85800E-006,9.68648E+000,246.00200E-003,6.84575E-006,9.68648E+000
1,1,80,100.00010E-003,572.19200E-006,9.79430E+000,253.00200E-003,7.14132E-006,9.79430E+000
1,1,81,100.00000E-003,553.31600E-006,9.90115E+000,260.00200E-003,7.37031E-006,9.90115E+000
1,1,82,100.00000E-003,534.28800E-006,10.01197E+000,267.00200E-003,7.52479E-006,10.01197E+000
1,1,83,100.00010E-003,515.32500E-006,10.12230E+000,274.00200E-003,7.68510E-006,10.12230E+000
1,1,84,100.00000E-003,496.18100E-006,10.24141E+000,281.00200E-003,7.76930E-006,10.24141E+000
1,1,85,100.00010E-003,477.44300E-006,10.35057E+000,288.00200E-003,7.93012E-006,10.35057E+000
1,1,86,100.00000E-003,458.95300E-006,10.45745E+000,295.00200E-003,8.11830E-006,10.45745E+000
1,1,87,100.00000E-003,440.55700E-006,10.56575E+000,302.00100E-003,8.24606E-006,10.56575E+000
