Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,60.07100E-003,1.00000E-003,64.77000E-003,-300.00000E-003,-2.15686E-006,64.77000E-003
1,1,2,60.18910E-003,1.00000E-003,168.73000E-003,-292.99900E-003,-1.30639E-006,168.73000E-003
1,1,3,60.33350E-003,1.00000E-003,277.24300E-003,-285.99100E-003,-834.23800E-009,277.24300E-003
1,1,4,60.48760E-003,1.00000E-003,386.63400E-003,-278.98900E-003,-494.08200E-009,386.63400E-003
1,1,5,60.68080E-003,1.00000E-003,563.68400E-003,-271.98500E-003,-671.92000E-009,563.68400E-003
1,1,6,60.86700E-003,1.00000E-003,745.72500E-003,-264.98600E-003,-592.23700E-009,745.72500E-003
1,1,7,61.05680E-003,1.00000E-003,923.23200E-003,-257.98500E-003,-436.28100E-009,923.23200E-003
1,1,8,61.22350E-003,1.00000E-003,1.03263E+000,-250.99000E-003,49.46800E-009,1.03263E+000
1,1,9,61.42290E-003,1.00000E-003,1.16683E+000,-243.99100E-003,141.69500E-009,1.16683E+000
1,1,10,61.61300E-003,1.00000E-003,1.27629E+000,-236.98900E-003,465.91100E-009,1.27629E+000
1,1,11,61.81370E-003,1.00000E-003,1.38315E+000,-229.99900E-003,694.01000E-009,1.38315E+000
1,1,12,62.02070E-003,1.00000E-003,1.48670E+000,-222.99900E-003,911.39000E-009,1.48670E+000
1,1,13,62.23750E-003,1.00000E-003,1.59026E+000,-215.99900E-003,1.07403E-006,1.59026E+000
1,1,14,62.46030E-003,1.00000E-003,1.69900E+000,-208.99880E-003,1.18380E-006,1.69900E+000
1,1,15,62.68940E-003,1.00000E-003,1.80255E+000,-201.99870E-003,1.33172E-006,1.80255E+000
1,1,16,62.92980E-003,1.00000E-003,1.90748E+000,-194.99870E-003,1.44916E-006,1.90748E+000
1,1,17,63.17830E-003,1.00000E-003,2.01381E+000,-187.99870E-003,1.55168E-006,2.01381E+000
1,1,18,63.43090E-003,1.00000E-003,2.11736E+000,-180.99860E-003,1.68318E-006,2.11736E+000
1,1,19,63.69080E-003,1.00000E-003,2.22095E+000,-173.99860E-003,1.79806E-006,2.22095E+000
1,1,20,63.95610E-003,1.00000E-003,2.32451E+000,-166.99860E-003,1.90543E-006,2.32451E+000
1,1,21,64.23230E-003,1.00000E-003,2.42809E+000,-159.99860E-003,2.00680E-006,2.42809E+000
1,1,22,64.51720E-003,1.00000E-003,2.53164E+000,-152.99860E-003,2.10496E-006,2.53164E+000
1,1,23,64.83780E-003,1.00000E-003,2.66256E+000,-145.99890E-003,1.95756E-006,2.66256E+000
1,1,24,65.13000E-003,1.00000E-003,2.76654E+000,-138.99870E-003,2.16262E-006,2.76654E+000
1,1,25,65.43400E-003,1.00000E-003,2.87010E+000,-131.99860E-003,2.29068E-006,2.87010E+000
1,1,26,65.75140E-003,1.00000E-003,2.97366E+000,-124.99870E-003,2.39549E-006,2.97366E+000
1,1,27,66.08100E-003,1.00000E-003,3.07721E+000,-117.99860E-003,2.49033E-006,3.07721E+000
