Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,57.58360E-003,1.00000E-003,66.11700E-003,-299.99800E-003,-415.28100E-009,66.11700E-003
1,1,2,57.80600E-003,1.00000E-003,175.86200E-003,-292.99400E-003,325.27700E-009,175.86200E-003
1,1,3,58.03330E-003,1.00000E-003,282.75700E-003,-285.99900E-003,682.80000E-009,282.75700E-003
1,1,4,58.25240E-003,1.00000E-003,389.65200E-003,-278.99900E-003,909.10000E-009,389.65200E-003
1,1,5,58.43520E-003,1.00000E-003,496.55800E-003,-271.99900E-003,1.07866E-006,496.55800E-003
1,1,6,58.61620E-003,1.00000E-003,603.40600E-003,-264.99900E-003,1.21501E-006,603.40600E-003
1,1,7,58.81620E-003,1.00000E-003,726.19200E-003,-257.99900E-003,1.28134E-006,726.19200E-003
1,1,8,59.05870E-003,1.00000E-003,833.11600E-003,-250.99900E-003,1.39786E-006,833.11600E-003
1,1,9,59.30750E-003,1.00000E-003,939.98100E-003,-243.99900E-003,1.49230E-006,939.98100E-003
1,1,10,59.57180E-003,1.00000E-003,1.04864E+000,-236.99900E-003,1.55528E-006,1.04864E+000
1,1,11,59.83680E-003,1.00000E-003,1.16078E+000,-229.99900E-003,1.58719E-006,1.16078E+000
1,1,12,60.08560E-003,1.00000E-003,1.26772E+000,-222.99900E-003,1.69000E-006,1.26772E+000
1,1,13,60.36830E-003,1.00000E-003,1.37461E+000,-215.99900E-003,1.75815E-006,1.37461E+000
1,1,14,60.68050E-003,1.00000E-003,1.48370E+000,-208.99870E-003,1.78194E-006,1.48370E+000
1,1,15,60.95050E-003,1.00000E-003,1.59059E+000,-201.99860E-003,1.85807E-006,1.59059E+000
1,1,16,61.26480E-003,1.00000E-003,1.70824E+000,-194.99860E-003,1.85120E-006,1.70824E+000
1,1,17,61.59320E-003,1.00000E-003,1.81510E+000,-187.99850E-003,1.93887E-006,1.81510E+000
1,1,18,61.90390E-003,1.00000E-003,1.92418E+000,-180.99850E-003,1.98974E-006,1.92418E+000
1,1,19,62.19750E-003,1.00000E-003,2.03127E+000,-173.99850E-003,2.04138E-006,2.03127E+000
1,1,20,62.54440E-003,1.00000E-003,2.16332E+000,-166.99880E-003,1.87566E-006,2.16332E+000
1,1,21,62.89380E-003,1.00000E-003,2.27023E+000,-159.99850E-003,2.04900E-006,2.27023E+000
1,1,22,63.25450E-003,1.00000E-003,2.37710E+000,-152.99850E-003,2.12210E-006,2.37710E+000
1,1,23,63.63980E-003,1.00000E-003,2.48557E+000,-145.99850E-003,2.15977E-006,2.48557E+000
1,1,24,64.05070E-003,1.00000E-003,2.59316E+000,-138.99840E-003,2.20864E-006,2.59316E+000
1,1,25,64.46760E-003,1.00000E-003,2.70868E+000,-131.99870E-003,2.21228E-006,2.70868E+000
1,1,26,64.88790E-003,1.00000E-003,2.81659E+000,-124.99850E-003,2.26744E-006,2.81659E+000
1,1,27,65.32510E-003,1.00000E-003,2.92383E+000,-117.99850E-003,2.30707E-006,2.92383E+000
1,1,28,65.75920E-003,1.00000E-003,3.03069E+000,-110.99840E-003,2.34519E-006,3.03069E+000
1,1,29,66.21340E-003,1.00000E-003,3.16599E+000,-103.99890E-003,2.14417E-006,3.16599E+000
1,1,30,66.66150E-003,1.00000E-003,3.27288E+000,-96.99850E-003,2.30488E-006,3.27288E+000
1,1,31,67.13120E-003,1.00000E-003,3.37976E+000,-89.99850E-003,2.36162E-006,3.37976E+000
1,1,32,67.64520E-003,1.00000E-003,3.49047E+000,-82.99870E-003,2.36398E-006,3.49047E+000
1,1,33,68.18000E-003,1.00000E-003,3.60046E+000,-75.99880E-003,2.38498E-006,3.60046E+000
1,1,34,68.73620E-003,1.00000E-003,3.71155E+000,-68.99860E-003,2.40651E-006,3.71155E+000
1,1,35,69.30110E-003,1.00000E-003,3.81840E+000,-61.99850E-003,2.44773E-006,3.81840E+000
1,1,36,70.94020E-003,1.00000E-003,3.92556E+000,-54.99850E-003,2.47013E-006,3.92556E+000
1,1,37,71.61180E-003,1.00000E-003,4.03263E+000,-47.99830E-003,2.49114E-006,4.03263E+000
1,1,38,72.30170E-003,1.00000E-003,4.16906E+000,-40.99890E-003,2.27974E-006,4.16906E+000
1,1,39,72.93260E-003,1.00000E-003,4.27595E+000,-33.99850E-003,2.41998E-006,4.27595E+000
1,1,40,73.58460E-003,1.00000E-003,4.38283E+000,-26.99840E-003,2.46552E-006,4.38283E+000
1,1,41,74.34540E-003,1.00000E-003,4.48980E+000,-19.99860E-003,2.49238E-006,4.48980E+000
1,1,42,75.07080E-003,1.00000E-003,4.59668E+000,-12.99850E-003,2.51418E-006,4.59668E+000
1,1,43,75.85310E-003,1.00000E-003,4.71461E+000,-5.99860E-003,2.48302E-006,4.71461E+000
1,1,44,76.66290E-003,1.00000E-003,4.82153E+000,1.00140E-003,2.51990E-006,4.82153E+000
1,1,45,77.47030E-003,1.00000E-003,4.92837E+000,8.00140E-003,2.54333E-006,4.92837E+000
1,1,46,78.27840E-003,1.00000E-003,5.03848E+000,15.00120E-003,2.53351E-006,5.03848E+000
1,1,47,79.15540E-003,1.00000E-003,5.17583E+000,22.00100E-003,2.35100E-006,5.17583E+000
1,1,48,79.99620E-003,1.00000E-003,5.28273E+000,29.00130E-003,2.49100E-006,5.28273E+000
1,1,49,80.87550E-003,1.00000E-003,5.38962E+000,36.00140E-003,2.54228E-006,5.38962E+000
1,1,50,81.81690E-003,1.00000E-003,5.49647E+000,43.00130E-003,2.57690E-006,5.49647E+000
1,1,51,82.78130E-003,1.00000E-003,5.60329E+000,50.00140E-003,2.61019E-006,5.60329E+000
1,1,52,83.78300E-003,1.00000E-003,5.71652E+000,57.00120E-003,2.61811E-006,5.71652E+000
1,1,53,84.82030E-003,1.00000E-003,5.82340E+000,64.00140E-003,2.65467E-006,5.82340E+000
1,1,54,85.90880E-003,1.00000E-003,5.93033E+000,71.00140E-003,2.68762E-006,5.93033E+000
1,1,55,87.05730E-003,1.00000E-003,6.03720E+000,78.00150E-003,2.71853E-006,6.03720E+000
1,1,56,88.28920E-003,1.00000E-003,6.17867E+000,85.00100E-003,2.50832E-006,6.17867E+000
1,1,57,89.43720E-003,1.00000E-003,6.28915E+000,92.00110E-003,2.62523E-006,6.28915E+000
1,1,58,90.64620E-003,1.00000E-003,6.39600E+000,99.00130E-003,2.69728E-006,6.39600E+000
1,1,59,91.90920E-003,1.00000E-003,6.50437E+000,106.00140E-003,2.73040E-006,6.50437E+000
1,1,60,93.24440E-003,1.00000E-003,6.61116E+000,113.00140E-003,2.76115E-006,6.61116E+000
1,1,61,94.62960E-003,1.00000E-003,6.71976E+000,120.00130E-003,2.77825E-006,6.71976E+000
1,1,62,96.05960E-003,1.00000E-003,6.82660E+000,127.00120E-003,2.79431E-006,6.82660E+000
1,1,63,97.54510E-003,1.00000E-003,6.93342E+000,134.00140E-003,2.81558E-006,6.93342E+000
1,1,64,99.07420E-003,999.97100E-006,7.04229E+000,141.00140E-003,2.81255E-006,7.04229E+000
1,1,65,100.00000E-003,992.09000E-006,7.18208E+000,148.00090E-003,2.62370E-006,7.18208E+000
1,1,66,100.00000E-003,974.61900E-006,7.28896E+000,155.00130E-003,2.76811E-006,7.28896E+000
1,1,67,100.00000E-003,956.77500E-006,7.39591E+000,162.00140E-003,2.82805E-006,7.39591E+000
1,1,68,100.00000E-003,939.00700E-006,7.50275E+000,169.00140E-003,2.87255E-006,7.50275E+000
1,1,69,100.00000E-003,921.05400E-006,7.61094E+000,176.00130E-003,2.90544E-006,7.61094E+000
1,1,70,100.00000E-003,903.11200E-006,7.72269E+000,183.00130E-003,2.93553E-006,7.72269E+000
1,1,71,100.00000E-003,884.83600E-006,7.82955E+000,190.00130E-003,2.98464E-006,7.82955E+000
1,1,72,100.00000E-003,866.39400E-006,7.93789E+000,197.00130E-003,3.02197E-006,7.93789E+000
1,1,73,100.00000E-003,847.87800E-006,8.04534E+000,204.00150E-003,3.07563E-006,8.04534E+000
1,1,74,100.00000E-003,828.30500E-006,8.18093E+000,211.00100E-003,2.95445E-006,8.18093E+000
1,1,75,100.00000E-003,809.58600E-006,8.28784E+000,218.00100E-003,3.09980E-006,8.28784E+000
1,1,76,100.00000E-003,790.59000E-006,8.39476E+000,225.00100E-003,3.18218E-006,8.39476E+000
1,1,77,100.00000E-003,771.36100E-006,8.50163E+000,232.00100E-003,3.25567E-006,8.50163E+000
1,1,78,100.00010E-003,751.97000E-006,8.60852E+000,239.00100E-003,3.32737E-006,8.60852E+000
1,1,79,99.99990E-003,732.29000E-006,8.72796E+000,246.00100E-003,3.33874E-006,8.72796E+000
1,1,80,100.00000E-003,712.71800E-006,8.83484E+000,253.00100E-003,3.44406E-006,8.83484E+000
1,1,81,100.00000E-003,692.93700E-006,8.94169E+000,260.00100E-003,3.53518E-006,8.94169E+000
1,1,82,100.00000E-003,673.13800E-006,9.04856E+000,267.00100E-003,3.62489E-006,9.04856E+000
1,1,83,99.99990E-003,652.70200E-006,9.18763E+000,274.00100E-003,3.51067E-006,9.18763E+000
1,1,84,100.00000E-003,633.08000E-006,9.29843E+000,281.00100E-003,3.68564E-006,9.29843E+000
1,1,85,100.00000E-003,613.40600E-006,9.40538E+000,288.00100E-003,3.83791E-006,9.40538E+000
1,1,86,100.00000E-003,593.75200E-006,9.51228E+000,295.00100E-003,3.97011E-006,9.51228E+000
1,1,87,100.00000E-003,574.20700E-006,9.61914E+000,302.00100E-003,4.10485E-006,9.61914E+000
1,1,88,100.00000E-003,554.64700E-006,9.73082E+000,309.00100E-003,4.21657E-006,9.73082E+000
1,1,89,100.00000E-003,535.37100E-006,9.83924E+000,316.00100E-003,4.37046E-006,9.83924E+000
1,1,90,100.00000E-003,516.26000E-006,9.94615E+000,323.00100E-003,4.54435E-006,9.94615E+000
1,1,91,100.00000E-003,497.35500E-006,10.05481E+000,330.00100E-003,4.70936E-006,10.05481E+000
1,1,92,100.00000E-003,478.29700E-006,10.19050E+000,337.00100E-003,4.73709E-006,10.19050E+000
1,1,93,100.00000E-003,460.17400E-006,10.29735E+000,344.00100E-003,5.03034E-006,10.29735E+000
1,1,94,100.00000E-003,442.20600E-006,10.40424E+000,351.00100E-003,5.27000E-006,10.40424E+000
1,1,95,100.00000E-003,424.54600E-006,10.51114E+000,358.00100E-003,5.51559E-006,10.51114E+000
1,1,96,100.00000E-003,407.25800E-006,10.62034E+000,365.00100E-003,5.75275E-006,10.62034E+000
1,1,97,100.00000E-003,390.38300E-006,10.73230E+000,372.00100E-003,6.01031E-006,10.73230E+000
1,1,98,100.00000E-003,374.08300E-006,10.83916E+000,379.00200E-003,6.31716E-006,10.83916E+000
1,1,99,100.00000E-003,358.28000E-006,10.94639E+000,386.00200E-003,6.62422E-006,10.94639E+000
1,1,100,100.00000E-003,343.06600E-006,11.05326E+000,393.00200E-003,6.94345E-006,11.05326E+000
1,1,101,100.00000E-003,328.19200E-006,11.19366E+000,400.00000E-003,7.10198E-006,11.19366E+000
1,1,102,100.00000E-003,314.47300E-006,11.30449E+000,407.00100E-003,7.51382E-006,11.30449E+000
1,1,103,100.00000E-003,301.47700E-006,11.41156E+000,414.00100E-003,7.92010E-006,11.41156E+000
1,1,104,100.00000E-003,289.29500E-006,11.51765E+000,421.00000E-003,8.29106E-006,11.51765E+000
1,1,105,100.00000E-003,278.09900E-006,11.62453E+000,428.00200E-003,8.71390E-006,11.62453E+000
1,1,106,100.00000E-003,267.89100E-006,11.72908E+000,435.00100E-003,9.11590E-006,11.72908E+000
1,1,107,100.00000E-003,258.77500E-006,11.83265E+000,442.00000E-003,9.54230E-006,11.83265E+000
1,1,108,99.99990E-003,250.83600E-006,11.93620E+000,449.00100E-003,9.98020E-006,11.93620E+000
1,1,109,100.00000E-003,244.10900E-006,12.03975E+000,456.00100E-003,10.42690E-006,12.03975E+000
1,1,110,100.00000E-003,238.65700E-006,12.14330E+000,463.00000E-003,10.88200E-006,12.14330E+000
1,1,111,100.00000E-003,234.51700E-006,12.24686E+000,470.00100E-003,11.34640E-006,12.24686E+000
1,1,112,100.00000E-003,231.72800E-006,12.35041E+000,477.00100E-003,11.81890E-006,12.35041E+000
1,1,113,100.00000E-003,230.27900E-006,12.45403E+000,484.00100E-003,12.29800E-006,12.45403E+000
1,1,114,100.00000E-003,230.17700E-006,12.55848E+000,491.00100E-003,12.78290E-006,12.55848E+000
1,1,115,100.00000E-003,231.50600E-006,12.69046E+000,498.00000E-003,13.13200E-006,12.69046E+000
1,1,116,100.00000E-003,234.05200E-006,12.79479E+000,505.00100E-003,13.69980E-006,12.79479E+000
1,1,117,100.00000E-003,237.91100E-006,12.89831E+000,512.00100E-003,14.22170E-006,12.89831E+000
1,1,118,100.00000E-003,243.01100E-006,13.00189E+000,519.00100E-003,14.74290E-006,13.00189E+000
1,1,119,100.00000E-003,249.32100E-006,13.10546E+000,526.00100E-003,15.26840E-006,13.10546E+000
1,1,120,100.00000E-003,256.90800E-006,13.23395E+000,533.00100E-003,15.73090E-006,13.23395E+000
1,1,121,100.00000E-003,265.41900E-006,13.33748E+000,540.00100E-003,16.27710E-006,13.33748E+000
1,1,122,99.99990E-003,274.93600E-006,13.44107E+000,547.00100E-003,16.82410E-006,13.44107E+000
1,1,123,100.00000E-003,285.36500E-006,13.54470E+000,554.00100E-003,17.37550E-006,13.54470E+000
1,1,124,100.00000E-003,296.66400E-006,13.64828E+000,561.00100E-003,17.93220E-006,13.64828E+000
1,1,125,99.99990E-003,308.72100E-006,13.75188E+000,568.00100E-003,18.49250E-006,13.75188E+000
1,1,126,100.00000E-003,321.46200E-006,13.85543E+000,575.00100E-003,19.06070E-006,13.85543E+000
1,1,127,100.00000E-003,334.82200E-006,13.95898E+000,582.00100E-003,19.63780E-006,13.95898E+000
1,1,128,100.00000E-003,348.71100E-006,14.06255E+000,589.00100E-003,20.22310E-006,14.06255E+000
1,1,129,100.00000E-003,363.55600E-006,14.19698E+000,596.00000E-003,20.65880E-006,14.19698E+000
1,1,130,100.00000E-003,378.20800E-006,14.30079E+000,603.00100E-003,21.32730E-006,14.30079E+000
1,1,131,99.99990E-003,393.27700E-006,14.40434E+000,610.00100E-003,21.95950E-006,14.40434E+000
1,1,132,100.00000E-003,408.58800E-006,14.50787E+000,617.00100E-003,22.59500E-006,14.50787E+000
1,1,133,100.00000E-003,424.09400E-006,14.61263E+000,624.00100E-003,23.23670E-006,14.61263E+000
1,1,134,100.00000E-003,440.04700E-006,14.73688E+000,631.00100E-003,23.83180E-006,14.73688E+000
1,1,135,100.00000E-003,455.74100E-006,14.84045E+000,638.00100E-003,24.51180E-006,14.84045E+000
1,1,136,99.99990E-003,471.51700E-006,14.94402E+000,645.00100E-003,25.20300E-006,14.94402E+000
1,1,137,99.99990E-003,487.28700E-006,15.04757E+000,652.00100E-003,25.90760E-006,15.04757E+000
1,1,138,100.00000E-003,503.05700E-006,15.15112E+000,659.00000E-003,26.61650E-006,15.15112E+000
1,1,139,99.99990E-003,518.79200E-006,15.25469E+000,666.00100E-003,27.33550E-006,15.25469E+000
1,1,140,100.00000E-003,534.49800E-006,15.35825E+000,673.00100E-003,28.06040E-006,15.35825E+000
1,1,141,99.99990E-003,550.14000E-006,15.46181E+000,680.00000E-003,28.79280E-006,15.46181E+000
1,1,142,100.00000E-003,565.70100E-006,15.56553E+000,687.00100E-003,29.52600E-006,15.56553E+000
1,1,143,100.00000E-003,581.91400E-006,15.70230E+000,694.00000E-003,30.06720E-006,15.70230E+000
1,1,144,99.99990E-003,597.10300E-006,15.80587E+000,701.00000E-003,30.87170E-006,15.80587E+000
1,1,145,100.00000E-003,612.27100E-006,15.90942E+000,708.00100E-003,31.63820E-006,15.90942E+000
1,1,146,99.99990E-003,627.35400E-006,16.01295E+000,715.00100E-003,32.40470E-006,16.01295E+000
1,1,147,100.00000E-003,642.32400E-006,16.11695E+000,722.00100E-003,33.16940E-006,16.11695E+000
1,1,148,100.00000E-003,657.61400E-006,16.24184E+000,729.00100E-003,33.84010E-006,16.24184E+000
1,1,149,100.00000E-003,672.32900E-006,16.34538E+000,736.00100E-003,34.62590E-006,16.34538E+000
1,1,150,99.99990E-003,686.93600E-006,16.45066E+000,743.00100E-003,35.39940E-006,16.45066E+000
1,1,151,100.00000E-003,701.38500E-006,16.55415E+000,750.00100E-003,36.18470E-006,16.55415E+000
1,1,152,100.00000E-003,715.71300E-006,16.65772E+000,757.00100E-003,36.97060E-006,16.65772E+000
1,1,153,99.99990E-003,729.93300E-006,16.76196E+000,764.00100E-003,37.75480E-006,16.76196E+000
1,1,154,99.99990E-003,744.06300E-006,16.86739E+000,771.00100E-003,38.53650E-006,16.86739E+000
1,1,155,100.00000E-003,758.06400E-006,16.97095E+000,778.00100E-003,39.33170E-006,16.97095E+000
1,1,156,100.00000E-003,771.93900E-006,17.07449E+000,785.00100E-003,40.12070E-006,17.07449E+000
1,1,157,99.99990E-003,786.47300E-006,17.20249E+000,792.00100E-003,40.70300E-006,17.20249E+000
1,1,158,99.99990E-003,799.98600E-006,17.30611E+000,799.00100E-003,41.55180E-006,17.30611E+000
1,1,159,99.99990E-003,813.45100E-006,17.40970E+000,806.00100E-003,42.36630E-006,17.40970E+000
1,1,160,99.99990E-003,826.84000E-006,17.51328E+000,813.00100E-003,43.18100E-006,17.51328E+000
1,1,161,99.99990E-003,840.12200E-006,17.61679E+000,820.00100E-003,43.99400E-006,17.61679E+000
1,1,162,99.99990E-003,854.00300E-006,17.74479E+000,827.00100E-003,44.64240E-006,17.74479E+000
1,1,163,100.00000E-003,867.01800E-006,17.84834E+000,834.00100E-003,45.48850E-006,17.84834E+000
1,1,164,100.00000E-003,879.93600E-006,17.95188E+000,841.00100E-003,46.32880E-006,17.95188E+000
1,1,165,100.00000E-003,892.83300E-006,18.05541E+000,848.00100E-003,47.17260E-006,18.05541E+000
1,1,166,99.99990E-003,905.65800E-006,18.15917E+000,855.00100E-003,48.01990E-006,18.15917E+000
1,1,167,99.99990E-003,918.34200E-006,18.26308E+000,862.00100E-003,48.88260E-006,18.26308E+000
1,1,168,99.99990E-003,930.94700E-006,18.36663E+000,869.00100E-003,49.75420E-006,18.36663E+000
1,1,169,99.99990E-003,943.49300E-006,18.47018E+000,876.00100E-003,50.63840E-006,18.47018E+000
1,1,170,99.99990E-003,955.95000E-006,18.57372E+000,883.00100E-003,51.52600E-006,18.57372E+000
1,1,171,99.99990E-003,969.52000E-006,18.71034E+000,890.00100E-003,52.07680E-006,18.71034E+000
1,1,172,99.99990E-003,981.65900E-006,18.81390E+000,897.00100E-003,53.05910E-006,18.81390E+000
1,1,173,99.99990E-003,993.76800E-006,18.91746E+000,904.00100E-003,54.00930E-006,18.91746E+000
1,1,174,99.38180E-003,999.88400E-006,19.02100E+000,911.00100E-003,54.99030E-006,19.02100E+000
1,1,175,98.15900E-003,1.00000E-003,19.12458E+000,918.00200E-003,56.00120E-006,19.12458E+000
1,1,176,96.89020E-003,1.00000E-003,19.25068E+000,925.00100E-003,56.82630E-006,19.25068E+000
1,1,177,95.73850E-003,1.00000E-003,19.35429E+000,932.00100E-003,57.86130E-006,19.35429E+000
1,1,178,94.62230E-003,1.00000E-003,19.45787E+000,939.00200E-003,58.89830E-006,19.45787E+000
1,1,179,93.53690E-003,1.00000E-003,19.56141E+000,946.00100E-003,59.93340E-006,19.56141E+000
1,1,180,92.48640E-003,1.00000E-003,19.66497E+000,953.00200E-003,60.95900E-006,19.66497E+000
1,1,181,91.46350E-003,1.00000E-003,19.76990E+000,960.00200E-003,61.98920E-006,19.76990E+000
1,1,182,90.46740E-003,1.00000E-003,19.87345E+000,967.00200E-003,63.01610E-006,19.87345E+000
1,1,183,89.50470E-003,1.00000E-003,19.97696E+000,974.00200E-003,64.05080E-006,19.97696E+000
1,1,184,88.56860E-003,1.00000E-003,20.08096E+000,981.00200E-003,65.09700E-006,20.08096E+000
1,1,185,87.57060E-003,1.00000E-003,20.21068E+000,988.00100E-003,65.78470E-006,20.21068E+000
1,1,186,86.70260E-003,1.00000E-003,20.31426E+000,995.00200E-003,66.92090E-006,20.31426E+000
1,1,187,85.85410E-003,1.00000E-003,20.41780E+000,1.00200E+000,67.99590E-006,20.41780E+000
1,1,188,85.02540E-003,1.00000E-003,20.52140E+000,1.00900E+000,69.08170E-006,20.52140E+000
1,1,189,84.21590E-003,1.00000E-003,20.62494E+000,1.01600E+000,70.17560E-006,20.62494E+000
1,1,190,83.36070E-003,1.00000E-003,20.75450E+000,1.02300E+000,70.99040E-006,20.75450E+000
1,1,191,82.60440E-003,1.00000E-003,20.85812E+000,1.03000E+000,72.15510E-006,20.85812E+000
1,1,192,81.86580E-003,1.00000E-003,20.96180E+000,1.03700E+000,73.32730E-006,20.96180E+000
1,1,193,81.15190E-003,1.00000E-003,21.06536E+000,1.04400E+000,74.49880E-006,21.06536E+000
1,1,194,80.45110E-003,1.00000E-003,21.16891E+000,1.05100E+000,75.71020E-006,21.16891E+000
1,1,195,79.76360E-003,1.00000E-003,21.27249E+000,1.05800E+000,76.91670E-006,21.27249E+000
1,1,196,79.09980E-003,1.00000E-003,21.37608E+000,1.06500E+000,78.17800E-006,21.37608E+000
1,1,197,78.45250E-003,1.00000E-003,21.47965E+000,1.07200E+000,79.45580E-006,21.47965E+000
1,1,198,77.81790E-003,1.00000E-003,21.58324E+000,1.07900E+000,80.74320E-006,21.58324E+000
