Repeat,VAR2,Point,D2__CH1__DRAIN Voltage,D2__CH1__DRAIN Current,D2__CH1__DRAIN Time,D2__CH2__GATE Voltage,D2__CH2__GATE Current,D2__CH2__GATE Time
1,1,1,100.00000E-003,483.86500E-006,63.84500E-003,-300.00100E-003,-2.02142E-006,63.84500E-003
1,1,2,100.00000E-003,483.28200E-006,167.80900E-003,-293.00000E-003,-1.68759E-006,167.80900E-003
1,1,3,100.00000E-003,482.39500E-006,271.38000E-003,-286.00000E-003,-1.43661E-006,271.38000E-003
1,1,4,100.00000E-003,481.38400E-006,376.85300E-003,-279.00000E-003,-1.22853E-006,376.85300E-003
1,1,5,100.00000E-003,480.22300E-006,480.42100E-003,-272.00000E-003,-1.04412E-006,480.42100E-003
1,1,6,100.00000E-003,478.92900E-006,651.85100E-003,-265.00000E-003,-949.22000E-009,651.85100E-003
1,1,7,99.99990E-003,477.70000E-006,758.29700E-003,-257.99900E-003,-764.30500E-009,758.29700E-003
1,1,8,100.00000E-003,476.29000E-006,861.87400E-003,-250.99800E-003,-619.61800E-009,861.87400E-003
1,1,9,100.00000E-003,474.80600E-006,965.42500E-003,-243.99800E-003,-499.75300E-009,965.42500E-003
1,1,10,100.00000E-003,473.21800E-006,1.06902E+000,-236.99800E-003,-395.12800E-009,1.06902E+000
1,1,11,100.00000E-003,471.52700E-006,1.19847E+000,-229.99800E-003,-320.12700E-009,1.19847E+000
1,1,12,100.00000E-003,469.49700E-006,1.37197E+000,-222.99900E-003,-359.73200E-009,1.37197E+000
1,1,13,100.00000E-003,467.97900E-006,1.47717E+000,-215.99800E-003,-195.62000E-009,1.47717E+000
1,1,14,100.00000E-003,465.97400E-006,1.65820E+000,-208.99490E-003,-204.45700E-009,1.65820E+000
1,1,15,100.00000E-003,464.29800E-006,1.76221E+000,-201.99730E-003,-80.91100E-009,1.76221E+000
1,1,16,100.00000E-003,462.43800E-006,1.86576E+000,-194.99740E-003,932.00000E-012,1.86576E+000
1,1,17,100.00000E-003,460.13600E-006,2.04278E+000,-188.00010E-003,-49.94600E-009,2.04278E+000
1,1,18,100.00000E-003,458.13100E-006,2.17679E+000,-180.88630E-003,39.55140E-009,2.17679E+000
1,1,19,100.00000E-003,456.26200E-006,2.28626E+000,-173.99720E-003,109.38200E-009,2.28626E+000
1,1,20,100.00000E-003,454.21700E-006,2.38979E+000,-166.99700E-003,173.27100E-009,2.38979E+000
1,1,21,100.00000E-003,452.06700E-006,2.49336E+000,-159.99700E-003,222.32400E-009,2.49336E+000
1,1,22,100.00000E-003,449.81200E-006,2.60284E+000,-152.99690E-003,251.84200E-009,2.60284E+000
1,1,23,100.00000E-003,447.56200E-006,2.71146E+000,-145.99690E-003,288.89000E-009,2.71146E+000
1,1,24,100.00000E-003,445.24500E-006,2.82085E+000,-138.99700E-003,314.90400E-009,2.82085E+000
1,1,25,100.00000E-003,442.87700E-006,2.93023E+000,-131.99700E-003,339.92400E-009,2.93023E+000
1,1,26,100.00000E-003,440.47400E-006,3.04045E+000,-124.99680E-003,362.86300E-009,3.04045E+000
1,1,27,100.00000E-003,437.89600E-006,3.16601E+000,-117.99760E-003,354.62500E-009,3.16601E+000
1,1,28,100.00000E-003,435.48500E-006,3.27560E+000,-110.99710E-003,392.65000E-009,3.27560E+000
1,1,29,100.00000E-003,432.95800E-006,3.38504E+000,-103.99680E-003,417.28600E-009,3.38504E+000
1,1,30,100.00000E-003,430.40400E-006,3.49446E+000,-96.99700E-003,437.44400E-009,3.49446E+000
1,1,31,100.00000E-003,427.80700E-006,3.60425E+000,-89.99670E-003,455.22800E-009,3.60425E+000
1,1,32,100.00000E-003,425.09600E-006,3.72564E+000,-82.99720E-003,456.12000E-009,3.72564E+000
