POINT,TIME,V_GATE,I_CH0,I_CH1,I_CH2,I_CH3,I_CH4,I_CH5,I_CH6,I_CH7,I_CH8,I_CH9,I_CH10,I_CH11,I_CH12,I_CH13,I_CH14,I_CH15
0,-0.0,-0.6,8.1149999e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1124999e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1141661e-05,8.113333e-05,8.113333e-05,8.1141661e-05,8.113333e-05,8.113333e-05,8.113333e-05
1,0.411,-0.59,8.1154161e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05
2,0.821,-0.58,8.1145838e-05,8.113333e-05,8.1129168e-05,8.1137499e-05,8.1141661e-05,8.1141661e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05
3,1.232,-0.57,8.1154161e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05
4,1.643,-0.56,8.11625e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1124999e-05,8.1137499e-05,8.113333e-05,8.113333e-05
5,2.053,-0.55,8.11625e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1141661e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.1137499e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.113333e-05
6,2.464,-0.54,8.1145838e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.1141661e-05,8.113333e-05,8.1141661e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05
7,2.874,-0.53,8.1166661e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1141661e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05
8,3.285,-0.52,8.1145838e-05,8.1141661e-05,8.113333e-05,8.113333e-05,8.1141661e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.1137499e-05,8.1137499e-05,8.113333e-05,8.113333e-05
9,3.695,-0.51,8.1145838e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1141661e-05,8.113333e-05,8.1141661e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05
10,4.106,-0.5,8.1154161e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.1141661e-05,8.113333e-05,8.113333e-05,8.1141661e-05,8.113333e-05,8.1137499e-05,8.112083e-05
11,4.517,-0.49,8.1145838e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.113333e-05
12,4.927,-0.48,8.1154161e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.1141661e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05
13,5.338,-0.47,8.11625e-05,8.1124999e-05,8.1137499e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.113333e-05,8.1137499e-05,8.1137499e-05,8.1137499e-05,8.1137499e-05
